name,Job Role,CTC,Stipend,Eligible Batch,Eligible Courses,Eligible Branches,Internship Duration,Location,Application Link
Next Gen Scientist Foundation,,,Rs.6000 (on-site) | Rs.3000 (remote),"* 2025, 2026, 2027","* B.Tech, M.Tech, Dual degree, M.Sc, Integrated M.Sc",* All | Domain:* Life Science,,,"* https://ngsf.in/ngs-internship-program/ | Registration link:* https://forms.gle/KmP3Jt3YxPU9beWk8 | Deadline:* March 31, 2024"
Summer Research Internship Program-2024,,,,,,,,,
IIT Bhubaneswar,,,* Unpaid,"* 2025, 2026","* B.Tech, M.Tech, Dual degree, M.Sc, Integrated M.Sc, MA","* CS, EE, EI, EC, ME, CE, MM, CR, CY, PH, MA, HS, ER, AG",,,"* https://webapps.iitbbs.ac.in/internship-application/index.php | Registration link:* https://forms.gle/dMUDgqVo97t1NCDH7 | Deadline:* 16th April 2024, 11:45 midnight"
School of AI & Data Science - IIT Jodhpur,,,,"* 2025, 2026",* B.Tech,* All | Eligibility:* CGPA > 7.0 | Registration link:* https://tinyurl.com/yhvs3ybd | Deadline:* 15th April 2024,,,
IIIT Delhi,,,* Rs.5000 per month.,"* 2025, 2026","* B.Tech, Dual degree, Integrated M.Sc",* All,,,"* https://www.iiitd.edu.in/internship/login.php | Registration link:* https://forms.gle/pCqTotNkUGXYGXMK8 | Deadline:* 31 March, 2024"
ITC Limited,* Product Management,,* Not Disclosed,"* 2025, 2026, 2027","* B. Tech, Dual",* All,,,https://recruitment.itcportal.com/jobs/Careers/48611000027604001 | Registration Link:* | https://forms.gle/wb1AseEEqaxgC7Gr8 | Deadline:* _Apply Asap_ | Note: _It is mandatory to fill both the forms._
SUSTAIN-A-THON,,,,"* 2025, 2026, 2027 | Team Size:* 1-3 | Process:* | 1) Preliminary Round- MCQ Assessment. | 2) Round 1- Executive Summary Submission. | 3) Round 2- Detailed Presentation Submission. | 4) Briefing webinar and Q&A session. | 5) Round 3 - Grand Finale | Rewards:* | 1) Winner - Cash prize of Rs 3 lakhs. | 2) 1st Runner-up - Cash prize of Rs 2 lakhs. | 3) 2nd Runner-up - Cash prize of Rs 1 lakh. | 4) The remaining 9 national finalists in the Grand Finale will be awarded Rs 10,000 each | 5) Participation certificate for all. | Application Deadline:* 11.59pm, 14th April 2024",* ALL,*  ALL,,,* https://shorturl.at/jCKRZ | Note:*
Indian Institute of Space Science and Technology (IIST),,,,,,,,,
SPARK,,,,"* 2025, 2026 | CGPA Criteria:* CGPA>=8.0","* BTech, Int. MSc","* CS, EC, EE, ME, CH, CE, MM, PH, MA",,,"* https://forms.gle/wxebUfiqYhdo69iH7 | Deadline of Registration :* 15th April, 2024"
School of AI & Data Science - IIT Jodhpur,,,,"* 2025, 2026",* B.Tech,* All | Eligibility:* CGPA > 7.0 | Registration link:* https://tinyurl.com/yhvs3ybd | Deadline:* 15th April 2024,,,
NISER,,,,,,,,,
Tata Institute of Fundamental Research Centre for Applicable Mathematics (TIFR-CAM),,,* Rs. 7000 per month,"* 2025, 2026, 2027, 2028","* B. Tech, Dual, Int. Msc.",* All,,,"https://www.math.tifrbng.res.in/academic/internships | Registration Link:* | https://forms.gle/k3gMVfpkjnTX3L7TA | Deadline:* 11:59 pm, 20th April 2024 | Note:"
Summer Research Internship Scheme (SRIS) 2024,,,* Rs. 5000 per month,,"* B.Tech, Dual degree, Integrated M.Sc | Eligible Batches :* 2025, 2026 | Eligible Branches :* CS, EC, EE, ME, CH, CE, MM, PH, MA | Eligibility Criteria:* CGPA>=7.5. | Duration:* 8 weeks | second week of May to Mid-June, 2024. | Application Deadline date:* April 15, 2024 | Application Process :* Applications need to be submitted through email (srip@iitism.ac.in) | Registration Link :* https://forms.gle/JXRYouUGoNQAFWWq8",,,,
NIT Trichy,,,,,,,,,
American Express Makeathon 2024 (Women only),,,,"* 2025, 2026.","* B. Tech, Dual degree | Eligibility criteria:* | *Female students only.* | Team size:* 1 to 5 members. | Registration deadline:* | 28th April, 2024. | Rewards & Prizes:* | > *Top 3 teams to get full time/internship opportunities with American express.* | > Winner - INR 75,000 + gift hampers. | > 1st Runners up - INR 50,000 + gift hampers. | > 2nd Runners up - INR 30,000 + gift hampers.",* All,,,
Samagra Governance,,,,,,,,,
Inter-University Centre for Astronomy and Astrophysics (IUCAA),,,,,,,,,
Airbus Aerothon 6.O,,,,,,,,,
SUMMER RESEARCH INTERNSHIP PROGRAM 2024,,,"* INR 20,000/- for the entire period. | Mode of Internship:* Hybrid | 4 weeks on-campus between May 15- June 30 as per availability of guide | 4 weeks remote | Application Deadline:* 30th April, 2024 11:59 PM","* 2025, 2026","* B. Tech, Dual | Duration:* 8 weeks between May 15 - July 31, 2024",* All,,,https://forms.gle/5hQJnkALUzUvStaU6 | Project details:* https://drive.google.com/file/d/1cfV9gHJutljtb5RgXzDL-UvVfHQnwoiw/view?usp=sharing
Solve for Tomorrow,,,,* All,"* All | Eligibility criteria:* Only candidates who are aged 18-22 years on the last day of the competition can apply. | Team size:* individual or 2 to 5 members. | Theme:* Environment & Sustainability | Rewards & Prizes:* | > Winner: 50 Lakh Grant for the winner+Samsung products | > Finalists(Top 5 teams): 1Lakh per team + Samsung Galaxy Z flip smartphone | > Semi finalists (Top 10 teams):20K per team +Samsung galaxy laptop | > Regional shortlist (Top 50 teams): certificate of participation | Registration Deadline:* | 31st May 2024,5PM.* | Note:* It is mandatory to fill both the forms. | 22/04/24, 20:04 - ~ Abhilash Nayak added ~ Rashmi Ranjan Samantaray",* All,,,
IIT DHARWAD,,,,,,,,,
LPAI*,,,"* 15KPM | Registration Link:* https://forms.gle/QAD6dYnxmMGYqL5QA | Note*: | 1) Hard copy of filled application form along with CV, area of interest inwork, and two valid references ( annexure 1 and 2 )are to be submitted at CDC office positively before 25.04.2024 (Thursday), 5.00PM. | 2) For further information go through the PDF given below or visit https://lpai.gov.in/.","* 2025, 2026","* B.Tech, MBA, Dual, Int MSc",* All | Duration*: 2 months,,,
AAKRUTI Global 2024,,,,"* 2025, 2026, 2027, 2028.","* B. Tech, B. Arch, Dual degree, Int MSc.","* All. | Team size:* Team of 4 students (mandatory) along with a mentor | Rewards and Prizes:* | > Cash prizes worth 3500 USD. | > *Job opportunities at Dassault Systèmes India.* | > Top ""All Girls"" team will get a special prize. | > College trophy to the maximum number of teams submitting qualified entries from one college. | Registration Deadline: 20 May 2024* | For further details and information, please follow the link provided below:_ | https://www.solidworks.com/product/students/aakrutiglobal2024 | Note:  The final event will be hosted at Dassault Systèmes - Pune on 15 November 2024.",,,
Lowe's India,,,,,,,,,
Amazon Wow 2024,,,,,,,,,
Lowe's India,,,,,,,,,
AlgoUniversity,,,,"* 2025, 2026","* B.Tech, Dual, Int. Msc","* All | Eligibility Criteria:* CGPA > 6.00 | Duration:* 2 Months | Important Points* | TnP cell is organizing *Graphs Programming Camp*  _(12-14th May)_ led by Codeforces Yellow, Manas Kumar Verma, a IIIT Hyd CS graduate and former Quant Trader at Alphagrep. | It's mandatory to attend the event to be eligible for the opportunity. | Registration link:* https://bit.ly/graphs-camp-nit-rourkela",,,"* https://forms.gle/PGieENKBuGFZR6s27 | Deadline:* May 10 2024 (tomorrow), *11:59 PM*."
AlphaVerse Premier League 2024,,,,,,,,,
AlgoUniversity,,,,,,,,,
HackOn with Amazon Season 4,,,,"* 2025,2026","*  B.Tech,M.Tech, Dual","* All | Deadline:* 25th May,2024",,,"https://unstop.com/hackathons/hackon-with-amazon-season-4-amazon-959046 | Registration form:* | https://forms.gle/Zp66UAenB5qjRpr37 | Rewards & Prizes:* | > Winner - INR 1,00,000 + an opportunity to experience ‘A day at Amazon' | > 1st runner-up - INR 75,000 | > 2nd runner-up - INR 50,000 | > Mentorship for the Top 8 teams | > SWAGs for the Top 8 teams | > The Titan - Top 75 Coders - Exciting Prizes | > The Wonder Woman - Top 50 Female Coders - Exciting Prizes | > The Trailblazer - Top 25 Fastest Coders - Exciting Prizes | NOTE*"
🏕️ *Graphs Camp Shortlist,,,,,,,,,
AAKRUTI Global 2024,,,,"* 2024, 2025, 2026",* All,"* All | Perks and Benefits:* | 1) PPI in one of the top Product Lifecycle Management Company. | 2) Top teams get an opportunity to present projects to juries from various industries, academia and specialist from Dassault Systèmes in Pune Campus, India. | Registration link:* https://solidworks.com/aakruti | Deadline:* 20th May 2024. <This message was edited>",,,
Lowe's India,,,,,,,,,
Fischer Jordan,,,* 20 KPM,"* 2025, 2026",* B.Tech,"* All | Duration of Internship:* 6 Months (student should be comfortable interning during college days) | Expected Time Commitment:* 20 hours/week | Registration Link:* (Students should fill both the forms) | Form - 1:* https://docs.google.com/forms/d/e/1FAIpQLSfyKrplzUwFC2jo7aQdXVayIkgRKc9EGBtVKfQZpjKDYrvmBQ/viewform | Form - 2:* https://forms.gle/xyma9rTgmAxSXLscA | Application Deadline:* 17th May, 11:59 PM",,,
Campus Connect,,,,"* 2025, 2026",* All,"* All | Date:* 28th May 2024 to 31st May 2024(*Please note* its not a full day event) | Brief Overview of the session:-* | 1. *Introduction to Microsoft and its Culture*: Gain an understanding of Microsoft's mission, values, and culture, and learn about the company's commitment to innovation and inclusivity. | 2. *Technology Sessions*: Explore Microsoft's latest technologies and innovations through interactive sessions led by industry experts. Participants will have the chance to delve into the forefront of technology. | 3. *Insights on Various Roles*: Discover the diverse range of roles where the college graduates have joined Microsoft. From software engineering to product management, participants will gain insights into different career paths and the skills required to succeed. | 4. *Coffee Corner Session with Microsoft Recruiters*: This session aims to learn more about internship and full-time opportunities, recruitment processes, and tips for a successful resume in the application process. | Registration Form:* https://forms.office.com/r/M3LFTK467G",,,"https://forms.gle/FT1W7fbL7J56644q9 | Deadline:* 22 May 2024, 2359 HRS | Note:* | Both the forms must be filled."
Fischer Jordan,,,,,,,,,
HackOn with Amazon,,,,,,,,,"* https://forms.gle/oRWo8smAEEcC4PJq8 | What's in it for you?* | Prizes worth: 2.25 lacs and SWAGs | Opportunity to experience 'A Day at Amazon' for Grand Finale winner | Get mentored by industry tech experts | Solve real-world business problems | See you at HackOn with Amazon (S4)! Ready, Set, Code! 🚀"
Thoughtworks Hiring Challenge - 2024,,,,* All,* All,* All | Prizes:* 11.10LPA PPO offer | Steps*: | (1) Register for the Contest by   providing the necessary details. | (2) Participate in the Coding Challenge on 1st June 2024 at 5 PM. | (3) You will receive a notification about the next steps from Thoughtworks if you make it to the list of top-performing participants. | Registration Link*: https://www.naukri.com/campus/contests/hiring-challenge-for-graduate-application-developer-from-thoughtworks-hiring-challenge-thoughtworks-event-31661,,,"* https://forms.gle/CBgiRxMrWyLCKFhi9 | Deadline*: 11.59PM, May 31 | Note:* It is mandatory to fill both the forms to become eligible for this opportunity."
Danieli InnovAction Meeting-2024,,,,* All,* All,"* All | Meeting Date:* 28th and 29th May 2024 | Registration Form:* https://forms.gle/4gmRuT9Sb47R9iHs7 | Meeting Joining Link:* https://sites.google.com/view/dim-2024/home#h.cb9swj42vvu6 | Deadline*: 11.59pm, 26th May 2024",,,
Tata Steel,,,,,,,,,
Microsoft,,,,,,,,,
Microsoft,,,,,,,,,
Microsoft,,,,,,,,,
Sector Preference,,,,,,,,,
OA Shortlists,,,,,,,,,
Amazon ML Summer School,,,,,,,,,
ETS India TOEFL championship,,,,"* 2025,2026","* B.Tech,Dual,Int Msc",* All,,,https://bit.ly/4bJGsIn | Registration link:* https://forms.gle/XE9GGEvEgEHBrMB66 | Rewards:* | 1st round winner: Prize money upto INR 4 Lakhs | 2nd round winner:Prize money upto INR 11Lakhs & Scholarship to study abroad | Deadline:* 10th June 2024
ACCENTURE,,,,"* All | Date:* June 20, 2024 (Thursday) | Time:* 10:00 AM | Mode:* Online | Registration Link:* _https://accntu.re/4dQiVr1_",* All,* All,,,"* _https://forms.gle/v5oVYehHvhwWT9ZT7_ | Maximum participation is expected , as it would ensure Accenture visiting the campus for Placements & Internships.*"
Myntra,,,,,,"* All | Rewards:* | 1. Winners: INR 4,00,000/- | 2. Pre-Placement Interview (PPI) opportunities for teams that make it to pre-finale.",,,"* https://unstop.com/hackathons/myntra-hackerramp-weforshe-2024-myntra-1025692?ref=VcwskWkW | Registration Link:* https://forms.gle/u1W3xwtaULeCxDzS8 | Deadline:* 23 Jun 24, 11:59 PM | 1. All eligible candidates must apply for this opportunity. It will ensure Myntra visiting our campus for placement and internship. | 2. It is mandatory to fill up both the forms."
TATA STEEL,,,,,,,,,
Shell.ai Hackathon,,,,* All,*  All,* All,,,"* https://www.hackerearth.com/challenges/new/competitive/shellai-hackathon-2024/ | Registration form:* https://forms.gle/wVv3juN1uHBX6BNQ7 | Rewards & Prizes:* | > Winner - 2,500 USD | > 1st runner-up - 2,200 USD | > 2nd runner-up - 2,000 USD | > Winner - 1,500 USD | > Runner-up - 1,000 USD | For more info,Visit :* https://www.shell.com/hackathon | Deadline:* July 01, 2024, 12:30 PM"
Amazon WoW (Women of the World),,,,,,,,,
AAKRUTI Global 2024,,,,* All,* All,"* All | Meeting link:* https://3ds.zoom.us/webinar/register/WN_U8aIzvwnTziGyhmfzCLRpw | Date:* 15th June, 05:30 PM",,,
AlgoUniversity,,,,,,,,,
Soul AI,,,* $10-$20 per hour,"* 2024, 2025, 2026, 2027 | Mode:* Online | Expected Time Commitments:* 5-6 hours a day | Registration Link:* https://app.soulhq.ai/?campus=nitrourkela | Fill Form:* https://forms.gle/YcLR8Ts2amrnf5sN9 | Deadline:* Saturday, 22 June 2024, 11:59 PM | Process* | Mandatory online test. | Shortlisting | Details of the work* | A project where you will assist in training, fine-tuning, and conversing with state-of-the-art large language models (LLMs).","* Btech, Mtech, Dual, PhD, MA, Int.M.Sc., M.Sc.",* All,,,
De Shaw,,,* 1.5 LPM + accommodation,* 2026,"* BTech, Int. Msc, Dual","* CS, EC, EI, EE, MA, minors in above branches | Eligibility Criteria:* | CGPA>=7 | No active backlogs | Registration Form:* | https://www.deshawindia.com/recruit/jobs/Oncampus/NITRourkela/TechInternSDEJune24",,,"https://forms.gle/2As7MwML78ckBJBC7 | Deadline:* 11:59 PM, 25th June | Note:* Must fill both Registration and Application form"
De Shaw,,,,,,,,,
Placement Registration,,,,,,,,,
KIMO,,,,* All,* All,* All,,,*  https://ln.run/4Pj8m | Registration form:* https://kimo.ai/competitions?direct_link_code=LNORIR&cn=NIT%20Rourkela | Deadline:* 1 JULY 2024 11:59PM IST | Rewards & Prizes:* | Certificate of appreciation | Goodies | Amazon voucher worth up to 2500 INR
Adobe GenSolve - Innovate to Impact,,,,,,,,,
Tata Steel,,,,,,,,,
De Shaw,,,,,,,,,
InnoVent 2024,,,,"* 2025, 2026 | Stages:* | Stage 1 - Project registration | Stage 2 - Virtual POC presentation | Stage 3 - Final Demo Day | Prizes:* | 1st Prize – INR 300,000 | 2nd Prize – INR 100,000 | 3rd Prize – INR 50,000 | Paid internship opportunities for all top teams. | Website Link:* https://www.tatatechnologies.com/in/innovent/ | Rules and Regulations:* https://www.tatatechnologies.com/in/tata-technologies-innovent-rules-and-regulations/ | Registration Form:* https://forms.gle/2K22kguQueDmaDWj8","* B. Tech, Dual",* All,,,"* https://shorturl.at/kN0uv | Deadline:* 11:59pm, 31st July 2024"
Important,,,,,,,,,
De Shaw,,,,,,,,,
De Shaw,,,,,,,,,
Flipkart GRiD 6.0,,,,,,,,,"https://forms.gle/MtT4hEhvSfvvC52t8 | Note:* Everyone must register, This will highly increase the chances of flipkart visiting our institute."
Salesforce,,,"* 1.5 LPM | CTC (on conversion):* 18 LPA (Fixed) + 4,00,000 Joining bonus+ $25000 RSU+ Relocation support+Free food at | office+Other benefits",* 2026,* BTech,* All | Eligiblity Criteria:* | CGPA>=7 | No active backlogs,,,"https://forms.gle/miQ5yGX8BUfz7JSN6 | Deadline:* 11:59 PM, 13th July"
Ola Electric,,,,,* All,"* All | Registration Link :* https://forms.gle/RtLF4Ntipomce7H57 | Deadline : Today , 11.59PM",,,
TVS Credit E.P.I.C Season 6,,,,"* 2025, 2026","* B. Tech, M. Tech, Dual, Int. MSc (only MA)",* All,,,* https://unstop.com/competitions/tvs-credit-epic-60-analytics-challenge-epic-season-6-tvs-credit-1067484 | Registration link:* https://forms.gle/XxyVZdecr87N3FzaA | Note:* _Filling both the forms is mandatory_ | Deadline:* 07/08/2024 | This is an awesome opportunity for students to have a brand on their CV & work with a company with a legacy of 100 years.
TVS Credit E.P.I.C Season 6,,,,"* 2025, 2026","* B. Tech, M. Tech, Dual",* All,,,* https://unstop.com/competitions/tvs-credit-epic-60-it-challenge-epic-season-6-tvs-credit-1067496 | Registration link:* https://forms.gle/nXHRzxVYMkL1i3eC7 (All team members must fill this form individually) | Note:* _Filling both the forms is mandatory_ | Deadline:* 07/08/2024
Pixel Perfect,,,,* All | Benefits:* The winner secures an internship and a chance at a Full-time job with DS Group.,* All,* All,,,"*  https://docs.google.com/forms/d/e/1FAIpQLScUwD8K7RSGcHWOKSsj9wb7KBYjd2CeGbNzxBiy8u6pEgsIdw/viewform | Registration Link*: https://docs.google.com/forms/d/1sGZwdCd4ApkZO19C3KokUQMaYtat66xZfpFRzd1nmOk/edit | Registration Deadline:* 18th July, 11:59 PM"
Placement Registration,,,,,,,,,
Big Idea Tech Design Competition,,,,"* 2025, 2026 | Team Size:* 1-3 Members | Rewards:* | Winner: Rs. 1.5 Lakhs | 1st Runner-Up: Rs. 75,000 | 2nd Runner-Up: Rs. 50,000 | Special Jury 1: Rs. 10,000 | Special Jury 2: Rs. 10,000 | The Finalists will be eligible for interview opportunities for the Internship Program or full-time employment/positions, both subject to existing vacancies.. | Registration Fees:* Rs. 500 per team | Registration Link:* https://www.vguard.in/bigideatech/index",* B. Tech,* All,,,"* https://forms.gle/6DME1XbAoJ1WBAiQ9 | Deadline:* 2:00 PM, 14th August 2024 | Note:*"
Trilogy Innovations (Formerly known as Codenation),,,,,,,,,
Fischer Jordan,,,* 20 KPM,"* 2026, 2025",* B.Tech,"* All | Duration of Internship:* 1 year (students should be comfortable interning during college days) | Expected Time Commitment:* 20 hours/week | Registration Link:* (Students should fill both the forms) | Form - 1:* https://docs.google.com/forms/d/e/1FAIpQLSfHOIZRIqEREYqxMUVTfsYspN-IJQFouRzNq6XIyY8Tnn9eqA/viewform | Form - 2:* https://forms.gle/vfmizAvshhspW7ef7 | Note: Those who applied for the part-time internship opportunity at Fischer Jordan last year are not eligible to apply for this opportunity.* | Application Deadline:* 23rd July, 2:00 PM",,,
Cross Cultural Communication: Bridging Differences,,,,"* 2025, 2026",* All,"* All | Date:* 25th July, 2024 | Time:* 5:30 PM - 6:30 PM",,"* Virtual on Zoom | Registration Link:* https://tinyurl.com/2d36vxt6 | Deadline:* 4PM, 25th July | Note:* Everyone must register for the session, this will directly leads to the chances of ServiceNow visiting our college.",
HSBC India Business Case Programme (HIBCP),,,,"* 2025, 2026",* B.Tech,* All | Team Size:* 1-4 | Registration Link:* https://forms.gle/kSsd1WYYwWRYMxke8,,,"* https://docs.google.com/forms/d/e/1FAIpQLSchGGVVZSqA2JFToSzc2UyJ3cJqihG5GbrLjf6VURkGbNq_Lw/viewform | The HSBC India Business Case Programme offers:* | Workshops to boost case study skills. | Real-time simulation for strategy and finance. | Industry professional interactions.⁠ | Up to USD 10,000 in prizes and free courses for national finalists. | Note:* Everyone must register for the session, this will directly leads to the chances of HSBC visiting our college. | Deadline:* Apply as soon as possible."
Energy Quest,,,,"* 2025, 2026",* B.Tech,* All | Team Size:* 1 | Levels & Rounds:* | Online Assessment | Domain Assessment | Prizes:* | Winner: INR 25K + gifts | 1st Runner-Up: INR 15K + gifts | 2nd Runner-Up: INR 11K + gifts | 4th – 20th Rank holder: Cash prize of Rs 3000 for each participant. | Registration Form:* | https://xathon.mettl.com/event/Energy-quest,,,"* https://forms.gle/phNu9UVJ8UPd5mi9A | Deadline:* 20th Aug 2024, 22:00 | Note:* | 1. It is mandatory to fill out both forms. | 2. Direct Entry to interview/GD at the time of the Campus Hiring Drive for Winners and Runners."
Trilogy,,,,,,,,,
Trilogy,,,,,,,,,
ACCENTURE,,,,,,,,,
Accenture,,,,,,,,,
UiPath,,,"*  1,50,000 INR / Month (+1,00,000 INR Relocation) | Job Location:* Bangalore/Hyderabad | Eligibility Criteria:* | CGPA: >=7.00 | Gender: Female | Deadline:*  11:59 PM, 15th August 2024 | Tentative OT Date:* 20th August 2024 | Registration Form:* https://forms.gle/zuBZDUEqGTFbH5s57 | No backlog restriction, but all backlogs must be cleared before starting the internship. | Refer to the attached JD for more details.",* 2026,* B.Tech,* All,,,
Myntra,,,,* All | Registration Link:* https://zoom.us/webinar/register/WN_Tt49n1mBR8i_TuEctlvH4g#/registration,* All,* All,,,"* https://forms.gle/GF9MVHJUzKtecq7Y7 | Complete this form to be eligible for a day at Myntra: https://forms.gle/kMXC1mxMf19s7qE18 | Deadline:* 18th Aug, 5 PM"
Goldman Sachs,,,* 1.5 LPM | CTC on conversion:* 36.5 LPA,* 2026 | Registration Link:* | https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CampusHiring/job/135078/?utm_medium=jobshare,"* B.Tech, M.Tech, Dual Degree, Int. MSc., MSc.",* All,,,https://forms.gle/wnXiHFgaLGq4aw9t7 | Deadline:* 20th Aug 2024 | Note:*
UiPath,,,,,,,,,
UiPath,,,,,,,,,
Cisco,,,"* 98 KPM(Bachelors), 1.21 LPM(Masters)",* 2026 | Eligibility Criteria:* No active backlogs. | Registration Link:* | https://jobs.cisco.com/jobs/IsAJob?projectId=1421663&source=Cisco+Jobs+Career+Site,"* B.Tech, M.Tech, Dual, Int. MSc., MSc.",* All,,,"https://forms.gle/X6AcrM5HfCjQwDek9 | Deadline:* 11:59 PM, 23rd Aug 2024 | Note:* Students must submit both registration and application form."
UiPath,,,,,,,,,
Sedemac Mechatronics,,,,"* 2025, 2026",* All,* All | Note:* | 1. The link will be shared tomorrow. | 2. All the candidates must join the PPT session promptly in order to maximize the recruitment from our campus. | 3. Failure to attend will lead to loss of candidature for the eligible students.,,,
Accenture,,,* 50K per month | Eligibility:* | No Active Backlogs and UR allowed,* 2026,"* B.Tech, Dual Degree",* All,,,"* https://forms.gle/gQCJ5ftEhmLAjTDH7 | Registration link:* https://indiacampus.accenture.com/register/accenture/AEHINT25t1c/apply/?event=603524&job=527210 | Application Deadline:*  25 August 2024, 11:59 PM | Note:* | It's mandatory to fill in both the registration links, failing which you won't be able to proceed in the process. | A valid PAN is mandatory to take part in the process. | PFB the entire process details."
Meesho DICE Challenge,,,,"* 2025, 2026 | Team Size:* 1-3 Members | Perks:* | 1. Winner: Rs. 1,00,000. | 2. Runner-up: Rs. 50,000. | 3. Pre-Placement Interviews (PPIs) for top team. | Registration Link:*  https://forms.gle/QKAurCxwqbMKmfPd9","* BTech, MTech, Dual Degree, Int MSc, Msc",* All,,,"Tech Track:* https://unstop.com/competitions/meesho-dice-challenge-tech-track-meesho-dice-challenge-meesho-1135350 | Business Track:* https://unstop.com/competitions/meesho-dice-challenge-business-track-meesho-dice-challenge-meesho-1135454 | Deadline:* 2nd September,2024, 10:59 PM | Note:* | 1. It is mandatory to fill both the form to be eligible for the opportunity | 2. There are two tracks. Teams can participate in all of them."
Accenture,,,,,,,,,
Cisco,,,,,,,,,
AB InBev,,,"* Rs 60,000 per month | Selection Process:* | 1.⁠ ⁠Pre- Placement Talk | 2.⁠ ⁠Resume Shortlisting | 3.⁠ ⁠Online Test | 4.⁠ ⁠Group Discussion | 5.⁠ ⁠Personal Interview","* 2026 | Eligibility Criteria:* | 1. 60% & above throughout academic career(CGPA>= 6) | 2. No active backlogs allowed. | Deadline:* 10 AM , 31th August 2024","* B.Tech, Int Msc","* EC, EI, EE, ME, CH, CE, FP, ID, MM, MA, CY",,,"* https://forms.gle/NsWQtbshTBMawh9A9 | Note* Please note the short deadline, which will not be extended under any circumstances."
Accenture,,,,,,,,,
Accenture,,,,,,,,,
Accenture,,,,,,,,,
Accenture,,,,,,,,,
Accenture,,,,,,,,,
Cisco,,,,,,,,,
Cisco,,,,,,,,,
Accenture,,,,,,,,,
Accenture,,,,,,,,,
Accenture,,,,,,,,,
Tata Consultancy Services (TCS),,,,"* 2025, 2026",* All,* All | Date:* 6th Sept | Time:* 9 AM | Venue:* BBA | Dress Code:* Formal | Note:* | Attendance at the session is mandatory for everyone.,,,
AB InBev,,,,,,,,,
Fractal Analytics,,,,,,,,,
AB InBev,,,,,,,,,
Cisco,,,,,,,,,
AB InBev,,,,,,,,,
Decimal Point Analytics,,,* 35 KPM | CTC on PPO Conversion:* 19 LPA,* 2026,* B.Tech,* All | Duration:* 8 weeks | Eligibility:* | 10th + 12th Percentage >=175% | CGPA >= 7.5 | Selection Process:* | Resume Shortlisting | Virtual Assessment | Personal Interview,,,"* https://forms.gle/85867mLa2Mbpozur5 | Deadline:* 11:59PM, 12th September 2024 | Keep the short Deadline in mind and prepare your CV according to the job profile."
